Operation,Time_Classic,Time_Unified,Time_NoPrefetch
readDataFromFile,110.1239,100.7847,101.12218
allocateInputData,1.316269,0.5838601999999999,0.587493
allocateOutputData,3.017601,0.09894080000000001,0.0923458
SubmissionCopyToDevice,0.0063982250000000004,0.033185110000000004,
ExecutionCopyToDevice,0.0316495,0.034738530000000004,
SubmissionMakeClusters,0.07578756,0.03580843,0.03031756
ExecutionMakeClusters,0.1786497,1.5580291000000002,0.1592514
SubmissionCopyToHost,0.043955690000000006,0.1084746,
ExecutionCopyToHost,0.045394279999999995,0.11003579999999999,
writeDataToFile,93.62489000000001,90.49632,93.55687
freeInputData,0.1903239,0.704357,0.9014238000000001
freeOutputData,0.41178980000000004,0.6521193999999999,0.7753901
