Operation,Time_Classic,Time_Unified,Time_NoPrefetch
readDataFromFile,76.47444,82.695,76.23597
allocateInputData,0.2127139,0.5660821,0.5521776
allocateOutputData,2.03083,2.116161,2.11522
SubmissionCopyToDevice,0.0039553669999999996,0.382216,0.2609531
ExecutionCopyToDevice,0.01850711,0.40207889999999996,0.2639571
SubmissionMakeClusters,0.01810781,0.02388265,0.02400223
ExecutionMakeClusters,0.14262380000000002,0.6730266,0.9729395999999999
SubmissionCopyToHost,0.04112958,0.165824,0.3341769
ExecutionCopyToHost,0.042398979999999996,0.1677466,0.3372667
writeDataToFile,88.48368,88.17567,93.31334000000001
freeInputData,0.1032227,0.4322448,0.46041109999999996
freeOutputData,0.15409330000000002,0.5852147999999999,0.5912853
