Operation,Time_Classic,Time_Unified,Time_NoPrefetch
readDataFromFile,38.08345,27.77958,27.82398
allocateInputData,1.298269,0.0813541,0.0939333
allocateOutputData,3.315729,0.0636848,0.064596
SubmissionCopyToDevice,0.006904067999999999,0.022232750000000003,
ExecutionCopyToDevice,0.04318745,0.02358974,
SubmissionMakeClusters,0.02449822,0.01919641,0.0171899
ExecutionMakeClusters,0.1569418,1.24954,0.0478622
SubmissionCopyToHost,0.1320721,0.3420713,
ExecutionCopyToHost,0.1337085,0.3436183,
writeDataToFile,344.7538,306.623,305.8238
freeInputData,0.1311468,0.4169905,0.2473621
freeOutputData,0.33355239999999997,0.1578443,0.17795339999999998
