Operation,Time_Classic,Time_Unified,Time_NoPrefetch
readDataFromFile,42.130669999999995,46.24736,45.718959999999996
allocateInputData,0.9973084,1.025429,1.0308707
allocateOutputData,3.189992,3.147671,3.149062
SubmissionCopyToDevice,0.008630186,1.011731,1.068486
ExecutionCopyToDevice,0.07416903999999999,1.018834,1.070227
SubmissionMakeClusters,0.029474849999999997,0.03317204,0.03366131
ExecutionMakeClusters,0.6974506,1.7588080000000001,3.045112
SubmissionCopyToHost,0.1689302,0.6612601,1.118289
ExecutionCopyToHost,0.1708618,0.6636166,1.121951
writeDataToFile,92.71294,96.55547,97.64562
freeInputData,0.1487253,0.5862179000000001,0.6091924
freeOutputData,0.27122630000000003,0.347613,0.30996239999999997
