Operation,Time_Classic,Time_Unified,Time_NoPrefetch
readDataFromFile,48.0785,26.84518,36.61603
allocateInputData,0.7293982999999999,0.061015,0.0610805
allocateOutputData,2.632792,0.0415403,0.048111
SubmissionCopyToDevice,0.0074772779999999995,0.031103369999999998,
ExecutionCopyToDevice,0.07235704000000001,0.03265142,
SubmissionMakeClusters,0.02620651,0.02492738,0.024764269999999998
ExecutionMakeClusters,0.195997,0.7657086,0.1942908
SubmissionCopyToHost,0.1647333,0.40135709999999997,
ExecutionCopyToHost,0.1664753,0.4032342,
writeDataToFile,83.52422,74.13288,83.08852
freeInputData,0.1614728,0.5065416,0.4862343
freeOutputData,0.3546048,0.1275955,0.1209387
