Operation,Time_Classic,Time_Unified,Time_NoPrefetch
readDataFromFile,48.118900000000004,40.28092,40.286680000000004
allocateInputData,0.27442500000000003,0.0374606,0.0376167
allocateOutputData,1.60195,0.030461,0.0307053
SubmissionCopyToDevice,0.013271640000000001,0.04052145,
ExecutionCopyToDevice,0.09980628999999999,0.05212784,
SubmissionMakeClusters,0.03640736,0.02969618,0.0381803
ExecutionMakeClusters,19.95336,21.919549999999997,20.134700000000002
SubmissionCopyToHost,0.17635620000000002,1.4030529999999999,
ExecutionCopyToHost,0.1894148,1.41463,
writeDataToFile,105.2221,104.4958,103.30609999999999
freeInputData,0.4743811,0.5954282,1.9439959999999998
freeOutputData,0.0322131,0.2672361,0.6379964
