Operation,Time_Classic,Time_Unified,Time_NoPrefetch
readDataFromFile,78.13244,78.74919,78.0722
allocateInputData,0.1913661,0.1311377,0.1342827
allocateOutputData,1.603392,1.496406,1.545048
SubmissionCopyToDevice,0.008130950000000001,7.888365,2.623756
ExecutionCopyToDevice,0.07423529,7.9094430000000004,2.624767
SubmissionMakeClusters,0.04199587,0.04997699,0.07299923
ExecutionMakeClusters,2.498167,5.36451,56.28959
SubmissionCopyToHost,0.1998362,1.398562,3.170432
ExecutionCopyToHost,0.2002479,1.416601,3.175033
writeDataToFile,162.8346,167.2156,171.6716
freeInputData,1.318738,1.183551,1.189935
freeOutputData,0.5531157999999999,1.161909,1.1035080000000002
