Operation,Time_Classic,Time_Unified,Time_NoPrefetch
readDataFromFile,39.25417,42.64246,42.355720000000005
allocateInputData,0.8102902000000001,0.8116654999999999,0.8109740000000001
allocateOutputData,2.303416,2.337696,2.377108
SubmissionCopyToDevice,0.009566297999999999,1.659819,1.372474
ExecutionCopyToDevice,0.5205365000000001,1.8157990000000002,1.3736130000000002
SubmissionMakeClusters,0.02987265,0.03251114,0.03140201
ExecutionMakeClusters,0.9913409,2.645851,4.267181
SubmissionCopyToHost,0.7376475,0.9993656,1.50211
ExecutionCopyToHost,0.7391074,1.001228,1.504228
writeDataToFile,112.40119,98.8811,114.09252
freeInputData,0.11107389999999999,0.43402640000000003,0.4513256
freeOutputData,0.241656,0.3640115,0.3368791
