Operation,Time_Classic,Time_Unified,Time_NoPrefetch
readDataFromFile,33.799189999999996,32.901869999999995,32.814550000000004
allocateInputData,0.20003769999999998,2.6111440000000004,2.621594
allocateOutputData,1.941137,4.575829000000001,4.548453
SubmissionCopyToDevice,0.009939940999999999,31.53768,0.08216737
ExecutionCopyToDevice,0.0944588,31.97571,0.08283367
SubmissionMakeClusters,0.02777365,0.049117640000000004,0.04190143
ExecutionMakeClusters,10.61155,22.50795,61.25022
SubmissionCopyToHost,0.2807347,0.15023720000000002,0.07697749000000001
ExecutionCopyToHost,0.2815497,0.1762336,0.07893257000000001
writeDataToFile,76.83422,74.1302,74.35159
freeInputData,2.615012,2.7012720000000003,2.338591
freeOutputData,0.5634235999999999,1.220944,0.8570797000000001
