Operation,Time_Classic,Time_Unified
readDataFromFile,38.04015,30.0573
allocateInputData,0.8182037,0.0564471999999999
allocateOutputData,2.896068,0.031504
SubmissionCopyToDevice,0.01300771,0.0302413
ExecutionCopyToDevice,0.5323636,0.0312758199999999
SubmissionMakeClusters,0.02060176,0.0169074
ExecutionMakeClusters,0.364104,0.9232853
SubmissionCopyToHost,0.3971034,0.5509664
ExecutionCopyToHost,0.398418,0.5522668000000001
writeDataToFile,100.28155,98.09436
freeInputData,0.0906052,0.3981348999999999
freeOutputData,0.1565441,0.1766279
