index, x, y, layer, weight, rho, delta, nh, isSeed, clusterId
0, -51.860, -64.090, 0, 1.000, 0.000,     0, 0, 0, 0
1, 171.870, -154.070, 0, 1.000, 0.000,     0, 0, 0, 0
2, -108.290, 15.320, 0, 1.000, 0.000,     0, 0, 0, 0
3, 175.750, -161.110, 0, 1.000, 0.000,     0, 0, 0, 0
4, -111.260, 129.910, 0, 1.000, 0.000,     0, 0, 0, 0
5, 165.020, -115.510, 0, 1.000, 0.000,     0, 0, 0, 0
6, -53.660, 61.400, 0, 1.000, 0.000,     0, 0, 0, 0
7, -139.170, 188.110, 0, 1.000, 0.000,     0, 0, 0, 0
8, -110.050, 32.220, 0, 1.000, 0.000,     0, 0, 0, 0
9, 175.940, -159.840, 0, 1.000, 0.000,     0, 0, 0, 0
10, -103.800, 13.960, 0, 1.000, 0.000,     0, 0, 0, 0
11, 181.010, -188.690, 0, 1.000, 0.000,     0, 0, 0, 0
12, -101.710, 22.500, 0, 1.000, 0.000,     0, 0, 0, 0
13, -116.160, 127.680, 0, 1.000, 0.000,     0, 0, 0, 0
14, -79.170, 88.970, 0, 1.000, 0.000,     0, 0, 0, 0
15, -16.930, 21.150, 0, 1.000, 0.000,     0, 0, 0, 0
16, -65.610, -69.200, 0, 1.000, 0.000,     0, 0, 0, 0
17, 76.040, -9.570, 0, 1.000, 0.000,     0, 0, 0, 0
18, -100.320, 12.870, 0, 1.000, 0.000,     0, 0, 0, 0
19, 168.810, -122.360, 0, 1.000, 0.000,     0, 0, 0, 0
20, -37.490, 61.720, 0, 1.000, 0.000,     0, 0, 0, 0
21, -78.550, 91.430, 0, 1.000, 0.000,     0, 0, 0, 0
22, -111.720, 159.340, 0, 1.000, 0.000,     0, 0, 0, 0
23, 106.520, -85.720, 0, 1.000, 0.000,     0, 0, 0, 0
24, -92.020, 106.330, 0, 1.000, 0.000,     0, 0, 0, 0
25, -110.990, 0.480, 0, 1.000, 0.000,     0, 0, 0, 0
26, 167.880, -132.260, 0, 1.000, 0.000,     0, 0, 0, 0
27, -63.530, -55.650, 0, 1.000, 0.000,     0, 0, 0, 0
28, -97.340, 132.280, 0, 1.000, 0.000,     0, 0, 0, 0
29, 219.790, -213.650, 0, 1.000, 0.000,     0, 0, 0, 0
30, -28.960, -3.640, 0, 1.000, 0.000,     0, 0, 0, 0
31, 84.570, -47.620, 0, 1.000, 0.000,     0, 0, 0, 0
32, -103.570, 36.510, 0, 1.000, 0.000,     0, 0, 0, 0
33, -24.900, 18.550, 0, 1.000, 0.000,     0, 0, 0, 0
34, 175.830, -140.580, 0, 1.000, 0.000,     0, 0, 0, 0
35, 154.070, -122.770, 0, 1.000, 0.000,     0, 0, 0, 0
36, -140.310, 48.160, 0, 1.000, 0.000,     0, 0, 0, 0
37, 190.810, -166.440, 0, 1.000, 0.000,     0, 0, 0, 0
38, -4.190, 16.840, 0, 1.000, 0.000,     0, 0, 0, 0
39, -94.040, -13.050, 0, 1.000, 0.000,     0, 0, 0, 0
40, 95.240, -58.560, 0, 1.000, 0.000,     0, 0, 0, 0
41, -53.800, 51.740, 0, 1.000, 0.000,     0, 0, 0, 0
42, 187.090, -158.930, 0, 1.000, 0.000,     0, 0, 0, 0
43, 127.220, -77.220, 0, 1.000, 0.000,     0, 0, 0, 0
44, 186.610, -172.350, 0, 1.000, 0.000,     0, 0, 0, 0
45, -101.160, 131.100, 0, 1.000, 0.000,     0, 0, 0, 0
