Operation,Time_Classic,Time_Unified
readDataFromFile,47.90141,27.09076
allocateInputData,0.735243,0.0604291999999999
allocateOutputData,2.5023150000000003,0.0420312
SubmissionCopyToDevice,0.0076836989999999,0.03105143
ExecutionCopyToDevice,0.07243629,0.03258258
SubmissionMakeClusters,0.02606694,0.02489622
ExecutionMakeClusters,0.1962588,0.7661190999999999
SubmissionCopyToHost,0.1648061,0.4011607
ExecutionCopyToHost,0.1665243,0.4030049
writeDataToFile,84.07647,74.41763999999999
freeInputData,0.1967597999999999,0.5049254000000001
freeOutputData,0.2820325,0.1275455999999999
